ln,desc,clsnet_ind,clsnet_ind_common
/m/012074,Magpie,22,111
/m/012xff,Toothbrush,71,482
/m/014trl,Cosmetics,127,341
/m/018j2,Banjo,292,102
/m/01_bhs,Fast food,394,389
/m/01d380,Drill,469,178
/m/01j4z9,Chainsaw,635,158
/m/01nkt,Cheese,783,58
/m/01ww8y,Snack,1006,203
/m/01xgg_,Medical equipment,1032,178
/m/024d2,Calculator,1211,240
/m/0268lbt,Hiking equipment,1324,483
/m/0271qf7,Wine rack,1364,63
/m/0284d,Dairy,1435,278
/m/02p0tk3,Human body,1717,166
/m/02vkqh8,Wardrobe,1891,321
/m/02wbm,Food,1922,95
/m/02wg_p,Tree house,1928,325
/m/035vxb,Isopod,2121,455
/m/03bj1,Panda,2197,236
/m/03hj559,Mixing bowl,2330,475
/m/03hlz0c,Kitchen utensil,2334,119
/m/03txqz,Scale,2505,240
/m/0463sg,Fashion accessory,2634,70
/m/04cp_,Koala,2702,21
/m/04rky,Mammal,2847,60
/m/04zpv,Milk,2924,43
/m/052lwg6,Baked goods,2960,28
/m/05s2s,Plant,3144,71
/m/05y5lj,Sports equipment,3186,127
/m/065h6l,Jacuzzi,3250,129
/m/06c7f7,Lipstick,3299,460
/m/06l9r,Red panda,3349,21
/m/073g6,Stethoscope,3473,255
/m/074d1,Submarine,3475,158
/m/0755b,Scorpion,3481,455
/m/07k1x,Tool,3569,282
/m/07pj7bq,Bowling equipment,3598,365
/m/084hf,Worm,3681,455
/m/08dz3q,Auto part,3719,143
/m/08p92x,Cream,3741,460
/m/09f20,Hippopotamus,3837,21
/m/09gys,Squid,3853,137
/m/09j2d,Clothing,3860,33
/m/0cl4p,Hedgehog,4115,422
/m/0d4w1,Closet,4193,321
/m/0f6nr,Unicycle,4364,22
/m/0h8kx63,Spice rack,4589,64
/m/0h8nr_l,Bathroom accessory,4631,463
/m/0hnyx,Pastry,4703,289
/m/0kpt_,Cantaloupe,4836,433
/m/0ky7b,Dishwasher,4843,183
/m/0l3ms,Balance beam,4852,124
/m/0m53l,Rays and skates,4894,137
/m/0mcx2,Ipod,4908,436
/m/0p833,Perfume,4937,475
/m/0qjjc,Remote control,4957,240
